POSTCODE,Type,Value
NW,2018Mean,3517.361904
NW,2018Medium,3127.407511
NW,2019Meter,212192
NW,2019Total,732236241.7
NW,2019Mean,3450.819266
NW,2019Medium,3091.638409
NW,2020Meter,213423
NW,2020Total,768557561.6
NW,2020Mean,3601.099983
NW,2020Medium,3180.495545
OL,2018Meter,188801
OL,2018Total,619986959.2
OL,2018Mean,3283.81184
OL,2018Medium,2929.759387
OL,2019Meter,189797
OL,2019Total,618975940.8
OL,2019Mean,3261.2525
OL,2019Medium,2901.655882
OL,2020Meter,190747
OL,2020Total,651275617.9
OL,2020Mean,3414.342653
OL,2020Medium,3001.651016
OX,2018Meter,237550
OX,2018Total,905096973.2
OX,2018Mean,3810.132491
OX,2018Medium,3343.211829
OX,2019Meter,242874
OX,2019Total,917193775.4
OX,2019Mean,3776.418124
OX,2019Medium,3314.095956
OX,2020Meter,247306
OX,2020Total,986492925.2
OX,2020Mean,3988.956698
OX,2020Medium,3477.106317
PA,2018Meter,143651
PA,2018Total,467944418.5
PA,2018Mean,3257.508952
PA,2018Medium,2913.262696
PA,2019Meter,145100
PA,2019Total,469462390.2
PA,2019Mean,3235.440318
PA,2019Medium,2882.486796
PA,2020Meter,146060
PA,2020Total,493568944.2
PA,2020Mean,3379.220486
PA,2020Medium,2970.194527
PE,2018Meter,278989
PE,2018Total,1006992464
PE,2018Mean,3609.434292
PE,2018Medium,3174.650187
PE,2019Meter,288183
PE,2019Total,1032287804
PE,2019Mean,3582.056555
PE,2019Medium,3157.358364
PE,2020Meter,296391
PE,2020Total,1127174074
PE,2020Mean,3802.996965
PE,2020Medium,3310.337172
PH,2018Meter,73268
PH,2018Total,283626301.6
PH,2018Mean,3871.080166
PH,2018Medium,3347.130089
PH,2019Meter,74114
PH,2019Total,284647585.5
PH,2019Mean,3840.672282
PH,2019Medium,3328.449964
PH,2020Meter,74760
PH,2020Total,297859553.1
PH,2020Mean,3984.21018
PH,2020Medium,3426.479494
PL,2018Meter,215345
PL,2018Total,772264778.3
PL,2018Mean,3586.174642
PL,2018Medium,3226.513658
PL,2019Meter,218499
PL,2019Total,782938919.7
PL,2019Mean,3583.260883
PL,2019Medium,3229.109341
PL,2020Meter,221022
PL,2020Total,830878414.3
PL,2020Mean,3759.256609
PL,2020Medium,3356.09876
PO,2018Meter,344208
PO,2018Total,1182281333
PO,2018Mean,3434.78749
PO,2018Medium,3006.469777
PO,2019Meter,347170
PO,2019Total,1183962534
PO,2019Mean,3410.325012
PO,2019Medium,2988.656072
PO,2020Meter,349952
PO,2020Total,1252670585
PO,2020Mean,3579.549725
PO,2020Medium,3102.59148
PR,2018Meter,217495
PR,2018Total,749316063.1
PR,2018Mean,3445.210525
PR,2018Medium,3068.259156
PR,2019Meter,220501
PR,2019Total,750503772.3
PR,2019Mean,3403.62979
PR,2019Medium,3043.684407
PR,2020Meter,223334
PR,2020Total,807201194.4
PR,2020Mean,3614.322917
PR,2020Medium,3185.575231
RG,2018Meter,313043
RG,2018Total,1235663079
RG,2018Mean,3947.263088
RG,2018Medium,3576.101611
RG,2019Meter,319192
RG,2019Total,1248592832
RG,2019Mean,3911.729716
RG,2019Medium,3557.940076
RG,2020Meter,323672
RG,2020Total,1339790613
RG,2020Mean,4139.346663
RG,2020Medium,3735.095102
RH,2018Meter,183357
RH,2018Total,714427231.3
RH,2018Mean,3896.372821
RH,2018Medium,3499.678795
RH,2019Meter,188075
RH,2019Total,734363869.6
RH,2019Mean,3904.633096
RH,2019Medium,3509.957758
RH,2020Meter,192387
RH,2020Total,795022253
